Band:,Album:,Song:,Lyric:,Location:,Coordinates,,X,Y
The Doobie Brothers,The Doobie Brothers (1971),Nobody,"""Setting out on a voyage down to Jenner""","Jenner, CA","[ 38.45067276538912, -123.1190025185089 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Nobody"", ""lyric"": ""Setting out on a voyage down to<b><u>Jenner</b></u>"", ""artist"": ""The Doobie Brothers"", ""year"": ""1971"", ""album"": ""The Doobie Brothers"", ""count"": 10, ""pic"": ""<img src='Doobie_TheDoobieBrothers.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 38.45067276538912, -123.1190025185089 ] } },",38.45067277,-123.1190025
The Doobie Brothers,The Doobie Brothers (1971),Greenwood Creek,"""She own some land, and a good crop she seeks down along the banks of Greenwood Creek""","Greenwood Creek, CA","[ 39.126485025074075, -123.71692388184616 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Greenwood Creek"", ""lyric"": ""She own some land, and a good crop she seeks down along the banks of <b><u>Greenwood Creek</b></u>"", ""artist"": ""The Doobie Brothers"", ""year"": ""1971"", ""album"": ""The Doobie Brothers"", ""count"": 10, ""pic"": ""<img src='Doobie_TheDoobieBrothers.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 39.126485025074075, -123.71692388184616 ] } },",39.12648503,-123.7169239
The Doobie Brothers,The Doobie Brothers (1971),Beehive State,"""Since you're the delegate from Kansas, will you kindly take the floor?""",Kansas,"[ 38.58020315402117, -98.42183468114798 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Beehive State"", ""lyric"": ""Since you're the delegate from <b><u>Kansas,</b></u> will you kindly take the floor?"", ""artist"": ""The Doobie Brothers"", ""year"": ""1971"", ""album"": ""The Doobie Brothers"", ""count"": 10, ""pic"": ""<img src='Doobie_TheDoobieBrothers.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 38.58020315402117, -98.42183468114798 ] } },",38.58020315,-98.42183468
The Doobie Brothers,The Doobie Brothers (1971),Beehive State,"""We need a fire house in Topeka""",Topeka,"[ 39.04396323282895, -95.6743883022087 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Beehive State"", ""lyric"": ""We need a fire house in <b><u>Topeka</b></u>"", ""artist"": ""The Doobie Brothers"", ""year"": ""1971"", ""album"": ""The Doobie Brothers"", ""count"": 10, ""pic"": ""<img src='Doobie_TheDoobieBrothers.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 39.04396323282895, -95.6743883022087 ] } },",39.04396323,-95.6743883
The Doobie Brothers,The Doobie Brothers (1971),Beehive State,"""I see the gentleman from Utah, our friendly Beehive State""",Utah,"[ 39.12976939648913, -111.2314198731501 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Beehive State"", ""lyric"": ""I see the gentleman from <b><u>Utah,</b></u> our friendly Beehive State"", ""artist"": ""The Doobie Brothers"", ""year"": ""1971"", ""album"": ""The Doobie Brothers"", ""count"": 10, ""pic"": ""<img src='Doobie_TheDoobieBrothers.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 39.12976939648913, -111.2314198731501 ] } },",39.1297694,-111.2314199
The Doobie Brothers,The Doobie Brothers (1971),Chicago,"""I'm headed for bright lights, big city, Chicago""",Chicago,"[ 41.87657591677176, -87.68459665856687 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Chicago"", ""lyric"": ""I'm headed for bright lights, big city, <b><u>Chicago</b></u>"", ""artist"": ""The Doobie Brothers"", ""year"": ""1971"", ""album"": ""The Doobie Brothers"", ""count"": 10, ""pic"": ""<img src='Doobie_TheDoobieBrothers.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 41.87657591677176, -87.68459665856687 ] } },",41.87657592,-87.68459666
The Doobie Brothers,Toulouse Street (1972),Mamaloi,"""I hear you callin' me home. Got to get back to Jamaica""",Jamaica,"[ 18.183173034588535, -77.35457543628516 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Mamaloi"", ""lyric"": ""I hear you callin' me home. Got to get back to <b><u>Jamaica</b></u>"", ""artist"": ""The Doobie Brothers"", ""year"": ""1972"", ""album"": ""Toulouse Street"", ""count"": 10, ""pic"": ""<img src='Doobie_ToulouseStreet.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 18.183173034588535, -77.35457543628516 ] } },",18.18317303,-77.35457544
The Doobie Brothers,Toulouse Street (1972),Toulouse Street,"""The spell has been cast down in New Orleans, again""",New Orleans,"[ 29.939520378328567, -90.12427560490713 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Toulouse Street"", ""lyric"": ""The spell has been cast down in <b><u>New Orleans,</b></u> again"", ""artist"": ""The Doobie Brothers"", ""year"": ""1972"", ""album"": ""Toulouse Street"", ""count"": 10, ""pic"": ""<img src='Doobie_ToulouseStreet.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 29.939520378328567, -90.12427560490713 ] } },",29.93952038,-90.1242756
The Doobie Brothers,The Captain and Me (1973),Long Train Runnin',"""Well, the Illinois Central and the Southern Central Freight got to keep pushin', mama""",Illinois Central Railroad,"[ 41.52577911228187, -87.68772745521373 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Long Train Runnin'"", ""lyric"": ""Well, the <b><u>Illinois Central</b></u> and the Southern Central Freight got to keep pushin', mama"", ""artist"": ""The Doobie Brothers"", ""year"": ""1973"", ""album"": ""The Captain and Me"", ""count"": 10, ""pic"": ""<img src='Doobie_TheCaptainandMe.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 41.52577911228187, -87.68772745521373 ] } },",41.52577911,-87.68772746
The Doobie Brothers,The Captain and Me (1973),China Grove,"""When the sun comes up on a sleepy little town down around San Antone""",San Antonio,"[ 29.441468429962576, -98.50072925555526 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""China Grove"", ""lyric"": ""When the sun comes up on a sleepy little town down around <b><u>San Antone</b></u>"", ""artist"": ""The Doobie Brothers"", ""year"": ""1973"", ""album"": ""The Captain and Me"", ""count"": 10, ""pic"": ""<img src='Doobie_TheCaptainandMe.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 29.441468429962576, -98.50072925555526 ] } },",29.44146843,-98.50072926
The Doobie Brothers,The Captain and Me (1973),China Grove,"""Well, you talkin' 'bout the China Grove (talkin' 'bout the China Grove)""","China Grove, TX","[ 29.388819831212206, -98.34630857231951 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""China Grove"", ""lyric"": ""Well, you talkin' 'bout the <b><u>China Grove</b></u> (talkin' 'bout the China Grove)"", ""artist"": ""The Doobie Brothers"", ""year"": ""1973"", ""album"": ""The Captain and Me"", ""count"": 10, ""pic"": ""<img src='Doobie_TheCaptainandMe.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 29.388819831212206, -98.34630857231951 ] } },",29.38881983,-98.34630857
The Doobie Brothers,The Captain and Me (1973),Ukiah,"""Retreat and live off the land all around Ukiah, woah""","Ukiah, CA","[ 39.14904931542944, -123.20969499314708 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Ukiah"", ""lyric"": ""Retreat and live off the land all around <b><u>Ukiah</b></u>, woah"", ""artist"": ""The Doobie Brothers"", ""year"": ""1973"", ""album"": ""The Captain and Me"", ""count"": 10, ""pic"": ""<img src='Doobie_TheCaptainandMe.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 39.14904931542944, -123.20969499314708 ] } },",39.14904932,-123.209695
The Doobie Brothers,What Were Once Vices Are Now Habits (1974),Black Water,"""Well, I built me a raft, and she's ready for floating. Old Mississippi, she's calling my name""",Mississippi River,"[ 38.86777976990142, -90.58646872498707 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Black Water"", ""lyric"": ""Well, I built me a raft, and she's ready for floating. Old <b><u>Mississippi,</b></u> she's calling my name"", ""artist"": ""The Doobie Brothers"", ""year"": ""1974"", ""album"": ""What Were Once Vices Are Now Habits"", ""count"": 10, ""pic"": ""<img src='Doobie_WhatWereOnceVicesAreNowHabits.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 38.86777976990142, -90.58646872498707 ] } },",38.86777977,-90.58646872
The Doobie Brothers,What Were Once Vices Are Now Habits (1974),Eyes of Silver,"""Rubies by the hundreds fill the Taj Mahal""",Taj Mahal,"[ 27.17500083019219, 78.0421291124691 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Eyes of Silver"", ""lyric"": ""Rubies by the hundreds fill the <b><u>Taj Mahal</b></u>"", ""artist"": ""The Doobie Brothers"", ""year"": ""1974"", ""album"": ""What Were Once Vices Are Now Habits"", ""count"": 10, ""pic"": ""<img src='Doobie_WhatWereOnceVicesAreNowHabits.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 27.17500083019219, 78.0421291124691 ] } },",27.17500083,78.04212911
The Doobie Brothers,Stampede (1975),Neal's Fandango,"""Goin' back, I'm too tired to roam, Loma Prieta my mountain home""","Loma Pireta, CA","[ 37.1107659201578, -121.8446950942785 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Neal's Fandango"", ""lyric"": ""Goin' back, I'm too tired to roam, <b><u>Loma Prieta</b></u> my mountain home"", ""artist"": ""The Doobie Brothers"", ""year"": ""1975"", ""album"": ""Stampede"", ""count"": 10, ""pic"": ""<img src='Doobie_Stampede.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 37.1107659201578, -121.8446950942785 ] } },",37.11076592,-121.8446951
The Doobie Brothers,Stampede (1975),Neal's Fandango,"""On the hills above Santa Cruz to the place where I spent my youth""","Santa Cruz, CA","[ 36.97384793017926, -122.03080285891043 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Neal's Fandango"", ""lyric"": ""On the hills above <b><u>Santa Cruz</b></u> to the place where I spent my youth"", ""artist"": ""The Doobie Brothers"", ""year"": ""1975"", ""album"": ""Stampede"", ""count"": 10, ""pic"": ""<img src='Doobie_Stampede.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 36.97384793017926, -122.03080285891043 ] } },",36.97384793,-122.0308029
The Doobie Brothers,Stampede (1975),Texas Lullaby,"""Watchin' the sun settle down over open Texas land""",Texas,"[ 31.885373264215065, -99.23453445781873 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Texas Lullaby"", ""lyric"": ""Watchin' the sun settle down over open <b><u>Texas</b></u> land"", ""artist"": ""The Doobie Brothers"", ""year"": ""1975"", ""album"": ""Stampede"", ""count"": 10, ""pic"": ""<img src='Doobie_Stampede.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 31.885373264215065, -99.23453445781873 ] } },",31.88537326,-99.23453446
The Doobie Brothers,Stampede (1975),Music Man,"""A sweet Georgia minstrel who loves to sing the blues""",Georgia,"[ 32.74931934105467, -83.35711851998528 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Music Man"", ""lyric"": ""A sweet <b><u>Georgia</b></u> minstrel who loves to sing the blues"", ""artist"": ""The Doobie Brothers"", ""year"": ""1975"", ""album"": ""Stampede"", ""count"": 10, ""pic"": ""<img src='Doobie_Stampede.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 32.74931934105467, -83.35711851998528 ] } },",32.74931934,-83.35711852
The Doobie Brothers,Stampede (1975),Rainy Day Crossroad Blues,"""Hole in my coat, hole in my shoes, sittin' in Mobile singin' the blues about you""",Mobile,"[ 30.691344006741677, -88.04613165405938 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Rainy Day Crossroad Blues"", ""lyric"": ""Hole in my coat, hole in my shoes, sittin' in <b><u>Mobile</b></u> singin' the blues about you"", ""artist"": ""The Doobie Brothers"", ""year"": ""1975"", ""album"": ""Stampede"", ""count"": 10, ""pic"": ""<img src='Doobie_Stampede.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 30.691344006741677, -88.04613165405938 ] } },",30.69134401,-88.04613165
The Doobie Brothers,Takin' It to the Streets (1976),8th Avenue Shuffle,"""New York girls they always make you feel so fine""",8th ave NY,"[ 40.749430534298526, -73.99552454596828 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""8th Avenue Shuffle"", ""lyric"": ""<b><u>New York</b></u> girls they always make you feel so fine"", ""artist"": ""The Doobie Brothers"", ""year"": ""1976"", ""album"": ""Takin' It to the Streets"", ""count"": 10, ""pic"": ""<img src='Doobie_TakinItToTheStreets.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 40.749430534298526, -73.99552454596828 ] } },",40.74943053,-73.99552455
The Doobie Brothers,Takin' It to the Streets (1976),Rio,"""The beaches and the sea, that's where I long to be, in Rio""",Rio de Janeiro,"[ -22.94617014006418, -43.21613277818784 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Rio"", ""lyric"": ""The beaches and the sea, that's where I long to be, in <b><u>Rio</b></u>"", ""artist"": ""The Doobie Brothers"", ""year"": ""1976"", ""album"": ""Takin' It to the Streets"", ""count"": 10, ""pic"": ""<img src='Doobie_TakinItToTheStreets.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ -22.94617014006418, -43.21613277818784 ] } },",-22.94617014,-43.21613278
The Doobie Brothers,Takin' It to the Streets (1976),Carry Me Away,"""There was a place in East St. Louis, it was in nineteen fifty nine""",East St. Louis,"[ 38.61962984317871, -90.14424918647562 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Carry Me Away"", ""lyric"": ""There was a place in <b><u>East St. Louis,</b></u> it was in nineteen fifty nine"", ""artist"": ""The Doobie Brothers"", ""year"": ""1976"", ""album"": ""Takin' It to the Streets"", ""count"": 10, ""pic"": ""<img src='Doobie_TakinItToTheStreets.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 38.61962984317871, -90.14424918647562 ] } },",38.61962984,-90.14424919
The Doobie Brothers,Livin' on the Fault Line (1977),Livin' on the Fault Line,"""No more lovely dreams of those summer nights down in Santo Domingo""",Santo Domingo,"[ 18.470431868496696, -69.93177462032779 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Livin' on the Fault Line"", ""lyric"": ""No more lovely dreams of those summer nights down in <b><u>Santo Domingo</b></u>"", ""artist"": ""The Doobie Brothers"", ""year"": ""1977"", ""album"": ""Livin' on the Fault Line"", ""count"": 10, ""pic"": ""<img src='Doobie_LivinOnTheFaultLine.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 18.470431868496696, -69.93177462032779 ] } },",18.47043187,-69.93177462
The Doobie Brothers,Livin' on the Fault Line (1977),Need a Lady,"""Need a lady like the lady from Tennessee""",Tennessee,"[ 35.794742663915635, -86.73361562376064 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Need a Lady"", ""lyric"": ""Need a lady like the lady from <b><u>Tennessee</b></u>"", ""artist"": ""The Doobie Brothers"", ""year"": ""1977"", ""album"": ""Livin' on the Fault Line"", ""count"": 10, ""pic"": ""<img src='Doobie_LivinOnTheFaultLine.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 35.794742663915635, -86.73361562376064 ] } },",35.79474266,-86.73361562
The Doobie Brothers,Cycles (1989),The Doctor,"""I'm a man who lives in the street, from F.L.A. up to Frisco Bay""",Florida,"[ 28.135757701858697, -81.6455349925671 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""The Doctor"", ""lyric"": ""I'm a man who lives in the street, from <b><u>F.L.A.</b></u> up to Frisco Bay"", ""artist"": ""The Doobie Brothers"", ""year"": ""1989"", ""album"": ""Cycles"", ""count"": 10, ""pic"": ""<img src='Doobie_Cycles.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 28.135757701858697, -81.6455349925671 ] } },",28.1357577,-81.64553499
The Doobie Brothers,Cycles (1989),The Doctor,"""I'm a man who lives in the street, from F.L.A. up to Frisco Bay""",San Francisco Bay,"[ 37.6546542077017, -122.27596565376346 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""The Doctor"", ""lyric"": ""I'm a man who lives in the street, from F.L.A. up to <b><u>Frisco Bay</b></u>"", ""artist"": ""The Doobie Brothers"", ""year"": ""1989"", ""album"": ""Cycles"", ""count"": 10, ""pic"": ""<img src='Doobie_Cycles.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 37.6546542077017, -122.27596565376346 ] } },",37.65465421,-122.2759657
The Doobie Brothers,Cycles (1989),South Of The Border,"""There's a town south of the border. South of El Paso they say""",El Paso,"[ 31.78710228037233, -106.48564157024347 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""South Of The Border"", ""lyric"": ""There's a town south of the border. South of <b><u>El Paso</b></u> they say"", ""artist"": ""The Doobie Brothers"", ""year"": ""1989"", ""album"": ""Cycles"", ""count"": 10, ""pic"": ""<img src='Doobie_Cycles.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 31.78710228037233, -106.48564157024347 ] } },",31.78710228,-106.4856416
The Doobie Brothers,Sibling Rivalry (2000),Jericho,"""Well I'm standin' on top of the mountain just about a mile from Jericho""",Jericho,"[ 31.86032757773707, 35.460736106652114 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Jericho"", ""lyric"": ""Well I'm standin' on top of the mountain just about a mile from <b><u>Jericho</b></u>"", ""artist"": ""The Doobie Brothers"", ""year"": ""2000"", ""album"": ""Sibling Rivalry"", ""count"": 10, ""pic"": ""<img src='Doobie_SiblingRivalry.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 31.86032757773707, 35.460736106652114 ] } },",31.86032758,35.46073611
The Doobie Brothers,Sibling Rivalry (2000),Jericho,"""Well some gunmen robbed a bank in California and the cops blew them all away""",California,"[ 36.32404095026427, -118.72494709376348 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Jericho"", ""lyric"": ""Well some gunmen robbed a bank in <b><u>California</b></u> and the cops blew them all away"", ""artist"": ""The Doobie Brothers"", ""year"": ""2000"", ""album"": ""Sibling Rivalry"", ""count"": 10, ""pic"": ""<img src='Doobie_SiblingRivalry.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 36.32404095026427, -118.72494709376348 ] } },",36.32404095,-118.7249471
The Doobie Brothers,World Gone Crazy (2010),A Brighter Day,"""There's a little bitty boy down in Jamaica""",Jamaica,"[ 18.26694193392329, -77.71854806079257 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""A Brighter Day"", ""lyric"": ""There's a little bitty boy down in <b><u>Jamaica</b></u>"", ""artist"": ""The Doobie Brothers"", ""year"": ""2010"", ""album"": ""World Gone Crazy"", ""count"": 10, ""pic"": ""<img src='Doobie_WorldGoneCrazy.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 18.26694193392329, -77.71854806079257 ] } },",18.26694193,-77.71854806
The Doobie Brothers,World Gone Crazy (2010),Don't Say Goodbye,"""Remember those nights down in old San Jose?""",San Jose,"[ 37.3001063609362, -121.867076488755 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Don't Say Goodbye"", ""lyric"": ""Remember those nights down in old <b><u>San Jose</b></u>?"", ""artist"": ""The Doobie Brothers"", ""year"": ""2010"", ""album"": ""World Gone Crazy"", ""count"": 10, ""pic"": ""<img src='Doobie_WorldGoneCrazy.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 37.3001063609362, -121.867076488755 ] } },",37.30010636,-121.8670765
The Doobie Brothers,World Gone Crazy (2010),Old Juarez,"""Well there's a new gunslinger in Juarez town""",Juarez,"[ 31.63555660228281, -106.45879384883443 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Old Juarez"", ""lyric"": ""Well there's a new gunslinger in <b><u>Juarez</b></u> town"", ""artist"": ""The Doobie Brothers"", ""year"": ""2010"", ""album"": ""World Gone Crazy"", ""count"": 10, ""pic"": ""<img src='Doobie_WorldGoneCrazy.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 31.63555660228281, -106.45879384883443 ] } },",31.6355566,-106.4587938
The Doobie Brothers,World Gone Crazy (2010),New York Dream,"""Then you're meetin' with your lawyers down on Gramercy""","Gramercy Park, NYC","[ 40.73258534783322, -73.98316874663138 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""New York Dream"", ""lyric"": ""Then you're meetin' with your lawyers down on <b><u>Gramercy</b></u>"", ""artist"": ""The Doobie Brothers"", ""year"": ""2010"", ""album"": ""World Gone Crazy"", ""count"": 10, ""pic"": ""<img src='Doobie_WorldGoneCrazy.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 40.73258534783322, -73.98316874663138 ] } },",40.73258535,-73.98316875
The Doobie Brothers,Liberté (2021),Oh Mexico,"""Take my advice and make that drive to the Gulf of Mexico""",Gulf of Mexico,"[ 22.18347560437205, -97.82140400896195 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Oh Mexico"", ""lyric"": ""Take my advice and make that drive to the <b><u>Gulf of Mexico</b></u>"", ""artist"": ""The Doobie Brothers"", ""year"": ""2021"", ""album"": ""Liberté"", ""count"": 10, ""pic"": ""<img src='Doobie_Liberté.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 22.18347560437205, -97.82140400896195 ] } },",22.1834756,-97.82140401
,,,,,,,,
Eagles,Eagles (1972),Take It Easy,"""Well, I'm a-standin' on a corner in <b><u>Winslow, Arizona</b></u> and such a fine sight to see""","Winslow, Arizona","[ 35.02691801697909, -110.70323917547209 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Take It Easy"", ""lyric"": ""Well, I'm a-standin' on a corner in <b><u>Winslow, Arizona</b></u> and such a fine sight to see"", ""artist"": ""Eagles"", ""year"": ""1972"", ""album"": ""Eagles"", ""count"": 10, ""pic"": ""<img src='Eagles_TheEagles.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 35.02691801697909, -110.70323917547209 ] } },",35.02691802,-110.7032392
Eagles,Desperado (1973),Doolin-Dalton,"""Two brothers lyin' dead in <b><u>Coffeyville</b></u>""","Coffeyville, Kansas","[ 37.039755853834876, -95.62969012065207 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Doolin-Dalton"", ""lyric"": ""Two brothers lyin' dead in <b><u>Coffeyville</b></u>"", ""artist"": ""Eagles"", ""year"": ""1973"", ""album"": ""Desperado"", ""count"": 10, ""pic"": ""<img src='Eagles_Desperado.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 37.039755853834876, -95.62969012065207 ] } },",37.03975585,-95.62969012
Eagles,Desperado (1973),Outlaw Man,"""First left my woman, it was down in <b><u>Santa Fe</b></u>""",Santa Fe,"[ 35.64871516494751, -106.00020614244804 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Outlaw Man"", ""lyric"": ""First left my woman, it was down in <b><u>Santa Fe</b></u>"", ""artist"": ""Eagles"", ""year"": ""1973"", ""album"": ""Desperado"", ""count"": 10, ""pic"": ""<img src='Eagles_Desperado.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 35.64871516494751, -106.00020614244804 ] } },",35.64871516,-106.0002061
Eagles,Desperado (1973),Outlaw Man,"""Headed for <b><u>Oklahoma</b></u>, I was ridin' night and day""",Oklahoma,"[ 35.459518725903294, -97.0728372679738 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Outlaw Man"", ""lyric"": ""Headed for <b><u>Oklahoma</b></u>, I was ridin' night and day"", ""artist"": ""Eagles"", ""year"": ""1973"", ""album"": ""Desperado"", ""count"": 10, ""pic"": ""<img src='Eagles_Desperado.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 35.459518725903294, -97.0728372679738 ] } },",35.45951873,-97.07283727
Eagles,Desperado (1973),Bitter Creek,"""Oh, son, don't wade too deep in <b><u>Bitter Creek</b></u>""",Bitter Creek,"[ 41.55078687274287, -108.5549672798064 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Bitter Creek"", ""lyric"": ""Oh, son, don't wade too deep in <b><u>Bitter Creek</b></u>"", ""artist"": ""Eagles"", ""year"": ""1973"", ""album"": ""Desperado"", ""count"": 10, ""pic"": ""<img src='Eagles_Desperado.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 41.55078687274287, -108.5549672798064 ] } },",41.55078687,-108.5549673
