Band:,Album:,Song:,Lyric:,Location:,Coordinates,,X,Y
Steely Dan,Pretzel Logic (1974),Parker's Band,"""<b><u>Kansas City</b></u> born and growing, you won't believe what the boys are blowing""",Kansas City,"[ 39.106447792994445, -94.59956401789785 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Parker's Band"", ""lyric"": ""<b><u>Kansas City</b></u> born and growing, you won't believe what the boys are blowing"", ""artist"": ""Steely Dan"", ""year"": ""1974"", ""album"": ""Pretzel Logic"", ""count"": 10, ""pic"": ""<img src='Steely_PretzelLogic.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 39.106447792994445, -94.59956401789785 ] } },",39.10644779,-94.59956402
Steely Dan,Pretzel Logic (1974),Parker's Band,"""You'll be grooving high or relaxin' at <b><u>Camarillo</b></u>""","Camarillo, CA","[ 34.223729066283006, -119.04457249844145 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Parker's Band"", ""lyric"": ""You'll be grooving high or relaxin' at <b><u>Camarillo</b></u>"", ""artist"": ""Steely Dan"", ""year"": ""1974"", ""album"": ""Pretzel Logic"", ""count"": 10, ""pic"": ""<img src='Steely_PretzelLogic.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 34.223729066283006, -119.04457249844145 ] } },",34.22372907,-119.0445725
Steely Dan,Pretzel Logic (1974),Parker's Band,"""Either way you're bound to function. <b><u>Fifty Second Street's</b></u> the junction.",52 St. NYC (Onyx Club),"[ 40.63690897930561, -73.9997384879086 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Parker's Band"", ""lyric"": ""Either way you're bound to function. <b><u>Fifty Second Street's</b></u> the junction"", ""artist"": ""Steely Dan"", ""year"": ""1974"", ""album"": ""Pretzel Logic"", ""count"": 10, ""pic"": ""<img src='Steely_PretzelLogic.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 40.63690897930561, -73.9997384879086 ] } },",40.63690898,-73.99973849
Steely Dan,Katy Lied (1975),Black Friday,"""When Black Friday comes I'll fly down to <b><u>Muswellbrook</b></u>""",Muswellbrook Australia,"[ -32.270739892083874, 150.88903262993205 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Black Friday"", ""lyric"": ""When Black Friday comes I'll fly down to <b><u>Muswellbrook</b></u>"", ""artist"": ""Steely Dan"", ""year"": ""1975"", ""album"": ""Katy Lied"", ""count"": 10, ""pic"": ""<img src='Steely_KatyLied.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ -32.270739892083874, 150.88903262993205 ] } },",-32.27073989,150.8890326
Steely Dan,Katy Lied (1975),Bad Sneakers,"""And that fearsom excavation on <b><u>Magnolia Boulevard</b></u>""",Magnolia Boulevard CA,"[ 34.164860794252434, -118.41928252628473 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Bad Sneakers"", ""lyric"": ""And that fearsom excavation on <b><u>Magnolia Boulevard</b></u>"", ""artist"": ""Steely Dan"", ""year"": ""1975"", ""album"": ""Katy Lied"", ""count"": 10, ""pic"": ""<img src='Steely_KatyLied.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 34.164860794252434, -118.41928252628473 ] } },",34.16486079,-118.4192825
Steely Dan,Katy Lied (1975),Bad Sneakers,"""Stomping on the avenue by <b><u>Radio City</b></u> with a transistor and a large sum of money to spend""",Radio City Music Hall,"[ 40.75997312562853, -73.97995708938262 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Bad Sneakers"", ""lyric"": ""Stomping on the avenue by <b><u>Radio City</b></u> with a transistor and a large sum of money to spend"", ""artist"": ""Steely Dan"", ""year"": ""1975"", ""album"": ""Katy Lied"", ""count"": 10, ""pic"": ""<img src='Steely_KatyLied.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 40.75997312562853, -73.97995708938262 ] } },",40.75997313,-73.97995709
Steely Dan,Katy Lied (1975),Rose Darling,"""I would guess she's in <b><u>Detroit</b></u> with lots of money in the bank""",Detroit,"[ 42.34423922611082, -83.0585925653206 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Rose Darling"", ""lyric"": ""I would guess she's in <b><u>Detroit</b></u> with lots of money in the bank"", ""artist"": ""Steely Dan"", ""year"": ""1975"", ""album"": ""Katy Lied"", ""count"": 10, ""pic"": ""<img src='Steely_KatyLied.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 42.34423922611082, -83.0585925653206 ] } },",42.34423923,-83.05859257
Steely Dan,Katy Lied (1975),Daddy Don't Live In That New York City No More,"""Daddy, don't live in that <b><u>New York City</b></u> no more""",NYC,"[ 40.74856727390679, -73.9859045719568 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Daddy Don't Live In That New York City No More"", ""lyric"": ""Daddy, don't live in that <b><u>New York City</b></u> no more"", ""artist"": ""Steely Dan"", ""year"": ""1975"", ""album"": ""Katy Lied"", ""count"": 10, ""pic"": ""<img src='Steely_KatyLied.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 40.74856727390679, -73.9859045719568 ] } },",40.74856727,-73.98590457
Steely Dan,Katy Lied (1975),Daddy Don't Live In That New York City No More,"""Driving like a fool out to <b><u>Hackensack</b></u>, drinking his dinner from a paper sack""","Hackensack, New Jersey","[ 40.88529135079946, -74.04475414724241 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Daddy Don't Live In That New York City No More"", ""lyric"": ""Driving like a fool out to <b><u>Hackensack</b></u>, drinking his dinner from a paper sack"", ""artist"": ""Steely Dan"", ""year"": ""1975"", ""album"": ""Katy Lied"", ""count"": 10, ""pic"": ""<img src='Steely_KatyLied.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 40.88529135079946, -74.04475414724241 ] } },",40.88529135,-74.04475415
Steely Dan,Katy Lied (1975),Doctor Wu,"""<b><u>Biscayne Bay</b></u>, where the Cuban gentlemen sleep all day""","Biscayne Bay, FL","[ 25.82793185864883, -80.15032805661117 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Doctor Wu"", ""lyric"": ""<b><u>Biscayne Bay</b></u>, where the Cuban gentlemen sleep all day"", ""artist"": ""Steely Dan"", ""year"": ""1975"", ""album"": ""Katy Lied"", ""count"": 10, ""pic"": ""<img src='Steely_KatyLied.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 25.82793185864883, -80.15032805661117 ] } },",25.82793186,-80.15032806
